a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.7-4
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adobe-source-han-sans-jp-fonts 2.004-2
adwaita-cursors 46.2-1
adwaita-icon-theme 46.2-1
adwaita-icon-theme-legacy 46.2-1
aic94xx-firmware 30-10
alacritty 0.13.2-2
alsa-firmware 1.2.4-4
alsa-lib 1.2.12-1
alsa-plugins 1:1.2.12-3
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
alsa-utils 1.2.12-1
altserver-bin 0.0.5-1
altserver-gui 0.1.8-1
amd-ucode 20240809.59460076-1
aom 3.10.0-1
appstream 1.0.3-1
appstream-qt5 1.0.3-1
archlinux-keyring 20240709-1
argon2 20190702-6
aribb24 1.0.3-4
ast-firmware 501-1
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attica 6.5.0-1
attica5 5.116.0-1
attr 2.5.2-1
audit 4.0.2-1
autoconf 2.72-1
automake 1.17-1
autotiling 1.9.3-2
avahi 1:0.8+r194+g3f79789-2
babl 0.1.108-1
baloo 6.5.0-1
baloo-widgets 24.08.0-1
base 3-2
base-devel 1-1
bash 5.2.032-2
bat 0.24.0-2
bc 1.07.1-5
bcprov 1.78.1-2
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-6
bitwarden 2024.8.1-1
blas 3.12.0-5
bluez 5.77-1
bluez-libs 5.77-1
bluez-utils 5.77-1
boost 1.86.0-1
boost-libs 1.86.0-1
box2d 3.0.0-1
breeze 6.1.4-1
breeze-icons 6.5.0-1
breeze5 6.1.4-1
brightnessctl 0.5.1-3
brillo 1.4.12-1
brotli 1.1.0-2
btrfs-progs 6.10.1-2
bubblewrap 0.10.0-1
bzip2 1.0.8-6
c-ares 1.33.1-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.104-1
ca-certificates-utils 20240618-1
cairo 1.18.0-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cblas 3.12.0-5
cdparanoia 10.2-9
chromium 128.0.6613.119-1
cifs-utils 7.0-5
cinnamon-desktop 6.2.0-1
clang 18.1.8-2
clucene 2.3.3.4-15
cmake 3.30.3-1
compiler-rt 18.1.8-1
composefs 1.0.4-1
confuse 3.3-4
convertlit 1.8-12
coreutils 9.5-2
cowsay 3.8.3-1
cppdap 1.58.0-2
cryptsetup 2.7.4-1
curl 8.9.1-2
dav1d 1.4.3-1
db 6.2.32-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dconf 0.40.0-3
debugedit 5.0-6
debuginfod 0.191-4
default-cursors 2-2
desktop-file-utils 0.27-1
device-mapper 2.03.26-1
dex 0.9.0-2
dhcpcd 10.0.10-1
diffutils 3.10-1
djvulibre 3.5.28-6
dmenu 5.3-3
dmraid 1.0.0.rc16.3-15
dnssec-anchors 20190629-4
docbook-xml 4.5-10
docbook-xsl 1.79.2-8
dolphin 24.08.0-1
dosfstools 4.2-5
dotnet-host 8.0.7.sdk107-1
dotnet-runtime 8.0.7.sdk107-1
dotnet-sdk 8.0.7.sdk107-1
dotnet-targeting-pack 8.0.7.sdk107-1
double-conversion 3.3.0-2
doxygen 1.12.0-1
duktape 2.7.0-7
e2fsprogs 1.47.1-4
ebook-tools 0.2.2-8
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efivar 39-1
electron 1:32-1
electron27 27.3.11-6
electron28 28.3.3-2
electron29 1:29.4.6-1
electron30 30.4.0-1
electron31 31.4.0-1
electron32 32.0.1-1
ell 0.68-1
emacs 29.4-2
enchant 2.8.0-1
ethtool 1:6.9-1
evince 46.3.1-1
exempi 2.6.5-1
exiv2 0.28.3-1
expat 2.6.2-1
extra-cmake-modules 6.5.0-1
faad2 2.11.1-1
fakeroot 1.36-1
fd 10.2.0-1
feh 3.10.3-1
ffmpeg 2:7.0.2-1
ffmpeg4.4 4.4.4-6
fftw 3.3.10-7
file 5.45-1
filesystem 2024.04.07-1
findutils 4.10.0-2
firefox 130.0-1
firefox-tridactyl 1.24.1-1
flac 1.4.3-2
flameshot 12.1.0-5
flatpak 1:1.15.10-1
flex 2.6.4-5
fmt 10.2.0-1
fontconfig 2:2.15.0-2
frameworkintegration 6.5.0-1
frameworkintegration5 5.116.0-1
freeglut 3.6.0-1
freetype2 2.13.3-1
fribidi 1.0.15-1
fswatch 1.17.1-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fzf 0.54.3-1
gawk 5.3.0-2
gc 8.2.6-1
gcc 14.2.1+r32+geccf707e5ce-1
gcc-libs 14.2.1+r32+geccf707e5ce-1
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-8
gdb 15.1-1
gdb-common 15.1-1
gdbm 1.24-1
gdk-pixbuf2 2.42.12-1
geckodriver 0.34.0-1
gegl 0.4.48-4
geoclue 2.7.1-3
gettext 0.22.5-1
ghc-libs 9.2.8-1
ghcup-hs-bin 0.1.30.0-1
ghostscript 10.03.1-1
giflib 5.2.2-1
gimp 2.10.38-1
girara 0.4.4-1
git 2.46.0-2
glib-networking 1:2.80.0-3
glib2 2.80.5-1
glibc 2.40+r16+gaa533d58ff-2
glibmm 2.66.7-1
glibmm-2.68 2.80.1-1
glslang 14.2.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnome-desktop 1:44.1-1
gnome-desktop-common 1:44.1-1
gnu-free-fonts 20120503-8
gnupg 2.4.5-4
gnutls 3.8.7-1
go 2:1.23.0-1
go-md2man 2.0.4-1
gobject-introspection-runtime 1.80.1-3
gperftools 2.15-1
gpgme 1.23.2-6
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-1
graphene 1.10.8-1
graphite 1:1.3.14-4
graphviz 12.1.0-1
grep 3.11-1
groff 1.23.0-7
grub 2:2.12-2
gsettings-desktop-schemas 46.1-2
gsettings-system-schemas 46.1-2
gsfonts 20200910-4
gsm 1.0.22-2
gspell 1.12.2-3
gssdp 1.6.3-1
gst-plugins-bad-libs 1.24.7-1
gst-plugins-base 1.24.7-1
gst-plugins-base-libs 1.24.7-1
gstreamer 1.24.7-1
gtest 1.15.2-1
gtk-update-icon-cache 1:4.14.5-1
gtk2 2.24.33-4
gtk2fontsel 0.1-8
gtk3 1:3.24.43-1
gtk4 1:4.14.5-1
gtkmm-4.0 4.14.0-1
gtkmm3 3.24.9-1
gts 0.7.6.121130-2
guile 3.0.10-1
gumbo-parser 0.12.1-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs 1.54.2-1
gzip 1.13-4
harfbuzz 9.0.0-1
harfbuzz-icu 9.0.0-1
haskell-adjunctions 4.4.2-97
haskell-aeson 2.1.2.1-50
haskell-aeson-pretty 0.8.10-10
haskell-alsa-core 0.5.0.1-18
haskell-alsa-mixer 0.3.0.1-1
haskell-ansi-terminal 0.11.4-68
haskell-ansi-wl-pprint 0.6.9-420
haskell-appar 0.1.8-14
haskell-asn1-encoding 0.9.6-231
haskell-asn1-parse 0.9.5-231
haskell-asn1-types 0.3.4-210
haskell-assoc 1.0.2-272
haskell-async 2.2.5-29
haskell-attoparsec 0.14.4-75
haskell-attoparsec-aeson 2.1.0.0-34
haskell-attoparsec-iso8601 1.1.0.0-51
haskell-auto-update 0.1.6-340
haskell-base-compat 0.12.2-2
haskell-base-compat-batteries 0.12.2-85
haskell-base-orphans 0.8.8.2-15
haskell-base-unicode-symbols 0.2.4.2-14
haskell-base16-bytestring 1.0.2.0-81
haskell-base64 0.4.2.4-71
haskell-base64-bytestring 1.2.1.0-105
haskell-basement 0.0.16-2
haskell-bifunctors 5.6-83
haskell-bitvec 1.1.3.0-97
haskell-blaze-builder 0.4.2.3-2
haskell-blaze-html 0.9.2.0-1
haskell-blaze-markup 0.8.3.0-11
haskell-boring 0.2.1-3
haskell-bsb-http-chunked 0.0.0.4-384
haskell-byteable 0.1.1-26
haskell-byteorder 1.0.4-25
haskell-cairo 0.13.10.0-4
haskell-call-stack 0.4.0-186
haskell-case-insensitive 1.2.1.0-204
haskell-cassava 0.5.3.1-7
haskell-cereal 0.5.8.3-2
haskell-citeproc 0.8.1-109
haskell-clock 0.8.4-6
haskell-cmdargs 0.10.22-2
haskell-colour 2.3.6-212
haskell-commonmark 0.2.4.1-2
haskell-commonmark-extensions 0.2.5.1-1
haskell-commonmark-pandoc 0.2.1.3-86
haskell-comonad 5.0.8-267
haskell-conduit 1.3.5-56
haskell-conduit-extra 1.3.6-137
haskell-connection 0.3.1-237
haskell-constraints 0.13.4-51
haskell-contravariant 1.5.5-4
haskell-cookie 0.4.6-2
haskell-crypton 0.34-12
haskell-crypton-connection 0.3.2-9
haskell-crypton-x509 1.7.6-29
haskell-crypton-x509-store 1.6.9-29
haskell-crypton-x509-system 1.6.7-29
haskell-crypton-x509-validation 1.6.12-29
haskell-cryptonite 0.30-74
haskell-data-array-byte 0.1.0.1-57
haskell-data-default 0.7.1.1-308
haskell-data-default-class 0.1.2.0-25
haskell-data-default-instances-containers 0.0.1-37
haskell-data-default-instances-dlist 0.0.1-321
haskell-data-default-instances-old-locale 0.0.1-37
haskell-data-fix 0.3.2-103
haskell-dbus 1.3.1-20
haskell-dec 0.0.5-5
haskell-digest 0.0.1.7-2
haskell-digits 0.3.1-22
haskell-distributive 0.6.2.1-210
haskell-dlist 1.0-243
haskell-doclayout 0.4.0.1-30
haskell-doctemplates 0.11-74
haskell-easy-file 0.2.5-22
haskell-emojis 0.1.3-11
haskell-erf 2.0.0.0-25
haskell-extensible-exceptions 0.1.1.4-37
haskell-extra 1.7.15-2
haskell-fast-logger 3.1.2-78
haskell-file-embed 0.0.15.0-2
haskell-foldable1-classes-compat 0.1-83
haskell-free 5.1.10-73
haskell-generically 0.1.1-2
haskell-ghc-bignum-orphans 0.1.1-2
haskell-glib 0.13.10.0-15
haskell-glob 0.10.2-91
haskell-gridtables 0.1.0.0-49
haskell-haddock-library 1.11.0-21
haskell-hashable 1.4.4.0-2
haskell-hinotify 0.4.1-172
haskell-hourglass 0.2.12-247
