acpi 1.7-4
adobe-source-han-sans-jp-fonts 2.004-2
alacritty 0.13.2-2
alsa-firmware 1.2.4-4
alsa-utils 1.2.12-1
altserver-bin 0.0.5-1
altserver-gui 0.1.8-1
amd-ucode 20240809.59460076-1
autotiling 1.9.3-2
base 3-2
base-devel 1-1
bat 0.24.0-2
bc 1.07.1-5
bitwarden 2024.8.1-1
bluez-utils 5.77-1
boost 1.86.0-1
brightnessctl 0.5.1-3
brillo 1.4.12-1
chromium 128.0.6613.119-1
clang 18.1.8-2
cowsay 3.8.3-1
dex 0.9.0-2
dhcpcd 10.0.10-1
dmenu 5.3-3
dolphin 24.08.0-1
dotnet-runtime 8.0.7.sdk107-1
dotnet-sdk 8.0.7.sdk107-1
efibootmgr 18-3
emacs 29.4-2
ethtool 1:6.9-1
evince 46.3.1-1
fd 10.2.0-1
feh 3.10.3-1
firefox 130.0-1
firefox-tridactyl 1.24.1-1
flameshot 12.1.0-5
flatpak 1:1.15.10-1
fswatch 1.17.1-1
fzf 0.54.3-1
gdb 15.1-1
geckodriver 0.34.0-1
ghcup-hs-bin 0.1.30.0-1
gimp 2.10.38-1
git 2.46.0-2
go 2:1.23.0-1
grub 2:2.12-2
gtk2fontsel 0.1-8
highlight 4.13-1
htop 3.3.0-3
i3-wm 4.23-4
i3blocks 1.5-4
i3lock 2.15-2
i3status 2.15-1
iwd 2.20-2
jre-openjdk 22.0.2.u9-1
jupyterlab 4.2.5-1
kitty 0.36.1-1
kotlin 2.0.20-1
libreoffice-fresh 24.8.0-3
libxcrypt-compat 4.4.36-2
linux 6.10.7.arch1-1
linux-firmware 20240809.59460076-1
lsw 0.3-7
ly 1.0.2-1
man-db 2.13.0-1
man-pages 6.9.1-1
mkinitcpio-firmware 1.4.0-1
mupdf 1.24.8-1
nemo 6.2.8-1
neovim 0.10.1-3
network-manager-applet 1.36.0-1
networkmanager 1.48.10-1
nextcloud 29.0.5-1
ninja 1.12.1-1
noto-fonts-emoji 1:2.042-1
noto-fonts-extra 1:24.9.1-1
npm 10.8.3-1
ntp 4.2.8.p18-1
obsidian 1.6.7-1
otf-fira-mono 2:3.206-4
p7zip 1:17.05-2
pacman-contrib 1.10.6-1
pamixer 1.6-3
pandoc-cli 0.1.1.1-122
paru 2.0.3-1
paru-debug 2.0.3-1
pavucontrol 1:6.1-1
pdftk 3.3.3-3
plocate 1.1.22-1
polybar 3.7.2-1
powertop 2.15-2
pplatex 1.0-1
pulseaudio 17.0-3
pulseaudio-alsa 1:1.2.12-3
pulseaudio-bluetooth 17.0-3
python-gobject 3.48.2-2
python-matplotlib 3.9.2-1
python-numpy 2.0.1-1
python-pip 24.2-1
